[27.07.2023 13:49:39] [INFO] received Windows console close event; shutting log-core down
[27.07.2023 17:27:05] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[27.07.2023 17:28:11] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[27.07.2023 17:56:30] [INFO] received Windows console close event; shutting log-core down
[27.07.2023 18:01:13] [INFO] received Windows console close event; shutting log-core down
[27.07.2023 18:18:24] [INFO] received Windows console close event; shutting log-core down
[27.07.2023 18:28:50] [INFO] received Windows console close event; shutting log-core down
[27.07.2023 19:00:17] [INFO] received Windows console close event; shutting log-core down
[27.07.2023 19:16:10] [INFO] received Windows console close event; shutting log-core down
[28.07.2023 19:30:47] [INFO] received Windows console close event; shutting log-core down
[28.07.2023 19:48:46] [INFO] received Windows console close event; shutting log-core down
[28.07.2023 20:13:31] [INFO] received Windows console close event; shutting log-core down
[28.07.2023 20:48:44] [INFO] received Windows console close event; shutting log-core down
[28.07.2023 20:56:26] [INFO] received Windows console close event; shutting log-core down
[28.07.2023 20:58:33] [INFO] received Windows console close event; shutting log-core down
[28.07.2023 21:00:07] [INFO] received Windows console close event; shutting log-core down
[28.07.2023 21:00:24] [INFO] received Windows console close event; shutting log-core down
[28.07.2023 21:13:08] [INFO] received Windows console close event; shutting log-core down
[28.07.2023 21:15:52] [INFO] received Windows console close event; shutting log-core down
[28.07.2023 21:18:59] [INFO] received Windows console close event; shutting log-core down
[28.07.2023 21:31:13] [INFO] received Windows console close event; shutting log-core down
[28.07.2023 21:33:52] [INFO] received Windows console close event; shutting log-core down
[28.07.2023 21:43:28] [INFO] received Windows console close event; shutting log-core down
[28.07.2023 21:48:14] [INFO] received Windows console close event; shutting log-core down
[28.07.2023 21:52:03] [INFO] received Windows console close event; shutting log-core down
[28.07.2023 21:56:15] [INFO] received Windows console close event; shutting log-core down
[28.07.2023 21:58:37] [INFO] received Windows console close event; shutting log-core down
[29.07.2023 10:22:50] [INFO] received Windows console close event; shutting log-core down
[29.07.2023 10:28:23] [INFO] received Windows console close event; shutting log-core down
[29.07.2023 11:43:43] [INFO] received Windows console close event; shutting log-core down
[29.07.2023 13:40:07] [INFO] received Windows console close event; shutting log-core down
[29.07.2023 13:47:31] [INFO] received Windows console close event; shutting log-core down
[29.07.2023 14:00:23] [INFO] received Windows console close event; shutting log-core down
[29.07.2023 14:04:35] [INFO] received Windows console close event; shutting log-core down
[29.07.2023 14:07:25] [INFO] received Windows console close event; shutting log-core down
[29.07.2023 14:15:11] [INFO] received Windows console close event; shutting log-core down
[29.07.2023 14:19:23] [INFO] received Windows console close event; shutting log-core down
[30.07.2023 14:46:31] [INFO] received Windows console close event; shutting log-core down
[30.07.2023 15:18:56] [INFO] received Windows console close event; shutting log-core down
[30.07.2023 16:06:11] [INFO] received Windows console close event; shutting log-core down
[30.07.2023 20:13:12] [INFO] received Windows console close event; shutting log-core down
[30.07.2023 20:24:42] [INFO] received Windows console close event; shutting log-core down
[30.07.2023 20:30:13] [INFO] received Windows console close event; shutting log-core down
[30.07.2023 20:32:34] [INFO] received Windows console close event; shutting log-core down
[30.07.2023 20:43:17] [INFO] received Windows console close event; shutting log-core down
[30.07.2023 21:00:08] [INFO] received Windows console close event; shutting log-core down
[30.07.2023 21:05:13] [INFO] received Windows console close event; shutting log-core down
[30.07.2023 21:07:42] [INFO] received Windows console close event; shutting log-core down
[30.07.2023 21:13:39] [INFO] received Windows console close event; shutting log-core down
[31.07.2023 0:13:16] [INFO] received Windows console close event; shutting log-core down
[31.07.2023 0:52:00] [INFO] received Windows console close event; shutting log-core down
[31.07.2023 1:47:57] [INFO] received Windows console close event; shutting log-core down
[04.08.2023 12:54:45] [INFO] received Windows console close event; shutting log-core down
[04.08.2023 13:59:39] [INFO] received Windows console close event; shutting log-core down
[04.08.2023 14:01:09] [INFO] received Windows console close event; shutting log-core down
[04.08.2023 14:10:31] [INFO] received Windows console close event; shutting log-core down
[04.08.2023 14:19:46] [INFO] received Windows console close event; shutting log-core down
[04.08.2023 14:26:52] [INFO] received Windows console close event; shutting log-core down
[04.08.2023 14:34:22] [INFO] received Windows console close event; shutting log-core down
[04.08.2023 14:44:49] [INFO] received Windows console close event; shutting log-core down
[04.08.2023 15:01:12] [INFO] received Windows console close event; shutting log-core down
[04.08.2023 15:21:14] [INFO] received Windows console close event; shutting log-core down
[04.08.2023 23:02:10] [INFO] received Windows console close event; shutting log-core down
[04.08.2023 23:38:17] [INFO] received Windows console close event; shutting log-core down
[04.08.2023 23:39:17] [INFO] received Windows console close event; shutting log-core down
[04.08.2023 23:41:18] [INFO] received Windows console close event; shutting log-core down
[04.08.2023 23:48:20] [INFO] received Windows console close event; shutting log-core down
[05.08.2023 0:24:48] [INFO] received Windows console close event; shutting log-core down
[05.08.2023 0:28:51] [INFO] received Windows console close event; shutting log-core down
[05.08.2023 0:30:29] [INFO] received Windows console close event; shutting log-core down
[05.08.2023 0:56:59] [INFO] received Windows console close event; shutting log-core down
[05.08.2023 1:03:12] [INFO] received Windows console close event; shutting log-core down
[05.08.2023 1:03:27] [INFO] received Windows console close event; shutting log-core down
[05.08.2023 1:08:29] [INFO] received Windows console close event; shutting log-core down
[05.08.2023 1:22:52] [INFO] received Windows console close event; shutting log-core down
[05.08.2023 1:23:19] [INFO] received Windows console close event; shutting log-core down
[05.08.2023 1:30:12] [INFO] received Windows console close event; shutting log-core down
[05.08.2023 12:59:15] [INFO] received Windows console close event; shutting log-core down
[05.08.2023 13:10:13] [INFO] received Windows console close event; shutting log-core down
[05.08.2023 13:13:45] [INFO] received Windows console close event; shutting log-core down
[05.08.2023 13:16:26] [INFO] received Windows console close event; shutting log-core down
[05.08.2023 13:27:34] [INFO] received Windows console close event; shutting log-core down
[05.08.2023 13:48:12] [INFO] received Windows console close event; shutting log-core down
[05.08.2023 14:14:21] [INFO] received Windows console close event; shutting log-core down
[05.08.2023 14:29:09] [INFO] received Windows console close event; shutting log-core down
[05.08.2023 15:08:17] [INFO] received Windows console close event; shutting log-core down
[05.08.2023 15:25:02] [INFO] received Windows console close event; shutting log-core down
[05.08.2023 15:26:43] [INFO] received Windows console close event; shutting log-core down
[05.08.2023 15:28:54] [INFO] received Windows console close event; shutting log-core down
[05.08.2023 15:35:06] [INFO] received Windows console close event; shutting log-core down
[05.08.2023 20:22:52] [INFO] received Windows console close event; shutting log-core down
[05.08.2023 20:38:45] [INFO] received Windows console close event; shutting log-core down
[05.08.2023 20:56:58] [INFO] received Windows console close event; shutting log-core down
[05.08.2023 20:58:41] [INFO] received Windows console close event; shutting log-core down
[05.08.2023 21:07:19] [INFO] received Windows console close event; shutting log-core down
[05.08.2023 21:18:47] [INFO] received Windows console close event; shutting log-core down
[05.08.2023 21:23:36] [INFO] received Windows console close event; shutting log-core down
[05.08.2023 21:43:30] [INFO] received Windows console close event; shutting log-core down
[05.08.2023 21:48:24] [INFO] received Windows console close event; shutting log-core down
[05.08.2023 21:53:44] [INFO] received Windows console close event; shutting log-core down
[05.08.2023 21:57:41] [INFO] received Windows console close event; shutting log-core down
[06.08.2023 15:35:18] [INFO] received Windows console close event; shutting log-core down
[06.08.2023 17:16:31] [INFO] received Windows console close event; shutting log-core down
[07.08.2023 13:24:30] [INFO] received Windows console close event; shutting log-core down
[07.08.2023 15:15:04] [INFO] received Windows console close event; shutting log-core down
[07.08.2023 15:24:15] [INFO] received Windows console close event; shutting log-core down
[07.08.2023 15:28:20] [INFO] received Windows console close event; shutting log-core down
[07.08.2023 15:32:49] [INFO] received Windows console close event; shutting log-core down
[07.08.2023 15:41:19] [INFO] received Windows console close event; shutting log-core down
[07.08.2023 15:55:21] [INFO] received Windows console close event; shutting log-core down
[07.08.2023 19:08:41] [INFO] received Windows console close event; shutting log-core down
[07.08.2023 19:33:28] [INFO] received Windows console close event; shutting log-core down
[07.08.2023 19:39:22] [INFO] received Windows console close event; shutting log-core down
[07.08.2023 20:01:11] [INFO] received Windows console close event; shutting log-core down
[07.08.2023 20:20:32] [INFO] received Windows console close event; shutting log-core down
[07.08.2023 20:24:45] [INFO] received Windows console close event; shutting log-core down
[07.08.2023 20:38:40] [INFO] received Windows console close event; shutting log-core down
[07.08.2023 20:52:52] [INFO] received Windows console close event; shutting log-core down
[07.08.2023 20:52:58] [INFO] received Windows console close event; shutting log-core down
[07.08.2023 20:57:17] [INFO] received Windows console close event; shutting log-core down
[07.08.2023 20:57:46] [INFO] received Windows console close event; shutting log-core down
[07.08.2023 20:59:37] [INFO] received Windows console close event; shutting log-core down
